会館名,手数料合計,件数
寝屋川,3231000.0,45
相生山,2641000.0,43
緑,2587000.0,38
黒川,2430000.0,49
大幸,2426000.0,39
大東深野南,2295000.0,31
豊明,2199000.0,30
如意申,2030000.0,29
覚王山,2030000.0,29
名港,2019000.0,30
御器所,2000000.0,28
山王,1983000.0,30
蟹江,1980000.0,31
春日井,1972000.0,34
道徳,1961000.0,30
中川,1948000.0,27
名東,1916000.0,27
四軒家,1912000.0,27
門真巣本,1905000.0,29
中村,1855000.0,26
栄生,1848000.0,27
瑞穂,1846000.0,30
甚目寺,1792000.0,27
岡崎北,1667000.0,21
弥富,1659000.0,24
港,1638000.0,23
幸心,1452000.0,22
松葉公園,1363000.0,24
滝ノ水,1355000.0,21
原,1316000.0,19
津島,1306000.0,21
猪高,1294000.0,19
岡崎中央,1220000.0,15
稲沢,1204000.0,17
津島東,1194000.0,17
黒川東館,1168000.0,15
豊橋南,1125000.0,15
北名古屋,997000.0,19
岡崎上地,996000.0,13
味美,990000.0,14
本陣,966000.0,14
弥富東,956000.0,15
東大阪大蓮,949000.0,14
黒川東,946000.0,14
西枇杷島,944000.0,12
千代田橋,928000.0,13
浄心,904000.0,13
岡崎南,885000.0,12
守山,881000.0,14
弥富通,876000.0,13
熱田,846000.0,18
岡崎竜美丘,826000.0,10
甚目寺北,816000.0,12
桶狭間,800000.0,11
蒲生,800000.0,9
神の倉,798000.0,12
岩塚,742000.0,12
豊山,735000.0,11
焼山,712000.0,10
清須古城,702000.0,10
柴田,686000.0,11
小牧中央,678000.0,11
日進香久山,676000.0,10
豊川,669000.0,10
四日市東日野,652000.0,14
千音寺,624000.0,9
守山吉根,620000.0,10
小田井,616000.0,10
新城,569000.0,9
東郷,562000.0,9
新清州,512000.0,7
豊橋高師,500000.0,8
蒲郡宮成,480000.0,6
矢作,478000.0,7
桑名江場,472000.0,8
四條畷,440000.0,6
愛西勝幡,436000.0,7
川名,432000.0,7
野田,420000.0,5
蒲郡西,420000.0,6
四日市内部,420000.0,7
三重川越,412000.0,6
豊橋,404000.0,7
四日市垂坂,397000.0,7
金屋,380000.0,5
桜町,380000.0,5
豊橋岩田,360000.0,5
御油,360000.0,5
豊橋西,360000.0,5
荒畑南,334000.0,5
蒲郡府相,320000.0,4
門真古川橋,312000.0,4
桑名星川,310000.0,6
下之一色,309000.0,6
国府,300000.0,4
上宿,300000.0,4
四日市羽津,288000.0,4
宝神,280000.0,4
鈴鹿神戸,274000.0,6
豊橋牛川,260000.0,4
湖西新所原,249000.0,4
一宮,240000.0,3
豊橋前田,232000.0,3
大東津の辺,224000.0,3
蒲郡形原,220000.0,3
小坂井,205000.0,3
岡﨑北,190000.0,4
門真大東,180000.0,4
豊橋藤沢,160000.0,2
本館,149000.0,3
川越,144000.0,2
四日市大矢知,142000.0,2
豊川みと,140000.0,2
蒲郡三谷,120000.0,2
大東鶴見,88000.0,1
門真大東・家,80000.0,1
金清寺,80000.0,1
門真大東西館,80000.0,1
牛川,80000.0,1
門真,80000.0,1
藤沢,80000.0,1
蒲生・鶴見,80000.0,1
蒲郡,80000.0,1
寺院法要,75000.0,2
滝の水,72000.0,1
岩田,60000.0,1
三谷,60000.0,1
自宅(津島),48000.0,1
弥冨通,48000.0,1
豊橋往完町,40000.0,1
日新香久山,40000.0,1
ご自宅,18000.0,2
大東北条,15000.0,1
熱田　炉前,15000.0,1
自宅,9000.0,1
自宅中川,9000.0,1
稱圓寺（栄生）,9000.0,1
